PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
WD2M,2021,94.7,98.2,104.3,108.5,107.8,105.8,109.2,114.1,110.8,114.4,98.3,96.3,105.8,Chapinero,4.6704,-74.04338
WD2M,2022,95.5,99.1,100.9,108.8,107.4,108.4,103.7,109.8,117.6,110.4,119.0,98.6,106.1,Chapinero,4.6704,-74.04338
WD2M,2023,96.2,95.4,104.5,111.5,110.4,108.8,107.1,107.4,107.4,116.0,105.6,102.5,105.9,Chapinero,4.6704,-74.04338
WD2M,2024,89.4,100.6,100.4,101.2,111.1,108.1,114.5,110.6,113.9,110.0,105.7,104.8,106.3,Chapinero,4.6704,-74.04338
WS10M,2020,2.23,2.39,1.97,1.96,2.22,2.29,2.15,1.96,1.8,1.7,1.23,1.78,1.97,Chapinero,4.6704,-74.04338
WS10M,2021,2.12,1.84,1.79,2.21,2.34,2.38,2.91,2.41,2.31,2.0,1.87,2.07,2.19,Chapinero,4.6704,-74.04338
WS10M,2022,1.98,2.08,1.9,1.88,2.1,1.97,2.18,2.18,1.93,1.59,1.37,1.77,1.91,Chapinero,4.6704,-74.04338
WS10M,2023,1.87,2.35,1.76,1.74,2.16,2.56,2.76,2.28,2.21,1.51,1.88,1.87,2.08,Chapinero,4.6704,-74.04338
WS10M,2024,2.35,2.17,2.12,2.17,2.19,2.26,2.55,2.32,2.31,1.99,1.56,1.86,2.15,Chapinero,4.6704,-74.04338
WS10M_MAX,2020,6.77,6.04,5.9,5.39,5.35,5.92,5.17,5.1,5.18,4.98,4.2,4.51,6.77,Chapinero,4.6704,-74.04338
WS10M_MAX,2021,5.6,5.26,5.61,5.11,6.44,6.41,7.54,6.23,5.85,5.91,4.63,5.03,7.54,Chapinero,4.6704,-74.04338
WS10M_MAX,2022,5.49,4.87,5.26,6.21,5.32,4.63,5.73,6.34,6.28,4.93,4.21,4.89,6.34,Chapinero,4.6704,-74.04338
WS10M_MAX,2023,4.93,5.19,5.46,5.4,6.0,6.1,6.57,6.03,5.41,4.61,5.64,5.53,6.57,Chapinero,4.6704,-74.04338
WS10M_MAX,2024,6.53,6.59,6.68,5.94,5.02,5.53,6.09,6.03,5.7,6.72,4.93,4.95,6.72,Chapinero,4.6704,-74.04338
WS10M_MIN,2020,0.17,0.11,0.15,0.07,0.01,0.1,0.2,0.07,0.09,0.02,0.08,0.04,0.01,Chapinero,4.6704,-74.04338
WS10M_MIN,2021,0.25,0.16,0.02,0.26,0.07,0.17,0.13,0.05,0.01,0.05,0.06,0.11,0.01,Chapinero,4.6704,-74.04338
WS10M_MIN,2022,0.11,0.44,0.18,0.05,0.23,0.04,0.3,0.16,0.09,0.05,0.08,0.02,0.02,Chapinero,4.6704,-74.04338
WS10M_MIN,2023,0.01,0.63,0.07,0.04,0.08,0.29,0.29,0.33,0.04,0.02,0.11,0.16,0.01,Chapinero,4.6704,-74.04338
WS10M_MIN,2024,0.48,0.21,0.1,0.23,0.1,0.3,0.06,0.1,0.06,0.09,0.03,0.25,0.03,Chapinero,4.6704,-74.04338
WS10M_RANGE,2020,2.85,3.29,3.15,3.3,3.44,3.55,3.59,3.48,3.35,3.16,2.14,2.75,3.17,Chapinero,4.6704,-74.04338
WS10M_RANGE,2021,3.21,2.65,2.64,3.15,3.22,3.54,4.05,4.22,4.1,3.31,2.8,2.96,3.33,Chapinero,4.6704,-74.04338
WS10M_RANGE,2022,2.86,2.98,3.0,3.13,3.36,3.02,3.46,3.74,3.56,2.53,1.97,2.49,3.01,Chapinero,4.6704,-74.04338
WS10M_RANGE,2023,2.52,3.09,2.73,2.83,3.4,3.75,3.69,3.84,3.94,2.91,2.87,2.77,3.19,Chapinero,4.6704,-74.04338
WS10M_RANGE,2024,3.01,3.1,3.26,3.27,3.27,3.54,3.92,4.01,3.96,3.3,2.55,2.61,3.32,Chapinero,4.6704,-74.04338
WS2M,2020,1.35,1.44,1.15,1.21,1.42,1.48,1.39,1.27,1.16,1.09,0.7,1.04,1.22,Chapinero,4.6704,-74.04338
WS2M,2021,1.28,1.09,1.06,1.36,1.43,1.49,1.87,1.56,1.51,1.23,1.11,1.22,1.35,Chapinero,4.6704,-74.04338
WS2M,2022,1.17,1.23,1.14,1.17,1.32,1.24,1.42,1.41,1.25,0.97,0.79,1.05,1.18,Chapinero,4.6704,-74.04338
WS2M,2023,1.1,1.42,1.04,1.05,1.36,1.69,1.83,1.51,1.44,0.95,1.17,1.12,1.31,Chapinero,4.6704,-74.04338
WS2M,2024,1.44,1.32,1.31,1.34,1.39,1.45,1.69,1.54,1.51,1.25,0.92,1.12,1.36,Chapinero,4.6704,-74.04338
WS2M_MAX,2020,4.4,3.95,3.85,3.56,3.43,3.94,3.44,3.38,3.5,3.31,2.57,2.88,4.4,Chapinero,4.6704,-74.04338
WS2M_MAX,2021,3.64,3.49,3.62,3.39,4.19,4.16,4.91,4.09,3.94,3.89,2.99,3.26,4.91,Chapinero,4.6704,-74.04338
WS2M_MAX,2022,3.61,3.07,3.48,4.19,3.55,3.07,3.84,3.97,3.99,3.34,2.84,3.25,4.19,Chapinero,4.6704,-74.04338
WS2M_MAX,2023,3.27,3.48,3.53,3.56,3.86,3.97,4.36,4.01,3.62,3.05,3.7,3.71,4.36,Chapinero,4.6704,-74.04338
WS2M_MAX,2024,4.25,4.33,4.4,3.91,3.29,3.57,4.06,4.01,3.78,4.54,3.24,3.29,4.54,Chapinero,4.6704,-74.04338
