localidad,ano,bimestre,valor_real,prediccion,error,error_absoluto,modelo
TEUSAQUILLO,2024,1,10.69041653176424,12.634128,-1.9437110851180837,1.9437110851180837,XGBoost_sin_latitud_longitud
TUNJUELITO,2024,1,14.104897409838772,12.634128,1.4707697929564478,1.4707697929564478,XGBoost_sin_latitud_longitud
USAQUEN,2024,1,10.737109616915863,12.077074,-1.3399644339874577,1.3399644339874577,XGBoost_sin_latitud_longitud
USME,2024,1,10.264386478256728,12.634128,-2.3697411386255958,2.3697411386255958,XGBoost_sin_latitud_longitud
ANTONIO NARINO,2024,2,10.889080523719448,11.078781,-0.18970060421023938,0.18970060421023938,XGBoost_sin_latitud_longitud
BARRIOS UNIDOS,2024,2,10.732379174069107,11.078781,-0.34640195386058004,0.34640195386058004,XGBoost_sin_latitud_longitud
BOSA,2024,2,9.56465808490901,11.078781,-1.5141230430206782,1.5141230430206782,XGBoost_sin_latitud_longitud
CHAPINERO,2024,2,10.685633359876622,11.898971,-1.213337244066249,1.213337244066249,XGBoost_sin_latitud_longitud
CIUDAD BOLIVAR,2024,2,11.000483769710852,11.078781,-0.0782973582188351,0.0782973582188351,XGBoost_sin_latitud_longitud
ENGATIVA,2024,2,10.377497586137912,11.078781,-0.701283541791776,0.701283541791776,XGBoost_sin_latitud_longitud
FONTIBON,2024,2,12.389308019568649,11.078781,1.3105268916389612,1.3105268916389612,XGBoost_sin_latitud_longitud
KENNEDY,2024,2,10.28940351933042,11.078781,-0.789377608599267,0.789377608599267,XGBoost_sin_latitud_longitud
LA CANDELARIA,2024,2,16.849002064693735,11.078781,5.770220936764048,5.770220936764048,XGBoost_sin_latitud_longitud
LOS MARTIRES,2024,2,11.310064985541493,11.078781,0.23128385761180503,0.23128385761180503,XGBoost_sin_latitud_longitud
PUENTE ARANDA,2024,2,15.125420386553035,11.078781,4.0466392586233475,4.0466392586233475,XGBoost_sin_latitud_longitud
RAFAEL URIBE URIBE,2024,2,11.28338404719874,11.078781,0.20460291926905327,0.20460291926905327,XGBoost_sin_latitud_longitud
SAN CRISTOBAL,2024,2,10.964617431033478,11.078781,-0.11416369689620964,0.11416369689620964,XGBoost_sin_latitud_longitud
SANTA FE,2024,2,10.92882072977261,11.078781,-0.14996039815707718,0.14996039815707718,XGBoost_sin_latitud_longitud
SUBA,2024,2,9.902885856283806,10.170256,-0.26736980472693617,0.26736980472693617,XGBoost_sin_latitud_longitud
SUMAPAZ,2024,2,22.0,14.285102,7.714898109436035,7.714898109436035,XGBoost_sin_latitud_longitud
TEUSAQUILLO,2024,2,10.09315592024842,11.078781,-0.9856252076812684,0.9856252076812684,XGBoost_sin_latitud_longitud
