modelo,tipo,localidad,año,BIMESTRE,id_registro_v11,valor_real,prediccion,error,error_absoluto,regla_utilizada
Baseline - media histÃ³rica global,baseline,USME,2024,3,512,10.124127025184,11.544158034427008,-1.420031009243008,1.420031009243008,media_global
Baseline - media histÃ³rica global,baseline,ANTONIO NARINO,2024,4,513,9.244175038934864,11.544158034427008,-2.299982995492144,2.299982995492144,media_global
Baseline - media histÃ³rica global,baseline,BARRIOS UNIDOS,2024,4,514,10.13724497178411,11.544158034427008,-1.4069130626428983,1.4069130626428983,media_global
Baseline - media histÃ³rica global,baseline,BOSA,2024,4,515,8.986675792835957,11.544158034427008,-2.5574822415910514,2.5574822415910514,media_global
Baseline - media histÃ³rica global,baseline,CHAPINERO,2024,4,516,10.26520185493747,11.544158034427008,-1.2789561794895388,1.2789561794895388,media_global
Baseline - media histÃ³rica global,baseline,CIUDAD BOLIVAR,2024,4,517,9.948590859516647,11.544158034427008,-1.5955671749103608,1.5955671749103608,media_global
Baseline - media histÃ³rica global,baseline,ENGATIVA,2024,4,518,9.573945290382811,11.544158034427008,-1.970212744044197,1.970212744044197,media_global
Baseline - media histÃ³rica global,baseline,FONTIBON,2024,4,519,11.77153360535838,11.544158034427008,0.22737557093137184,0.22737557093137184,media_global
Baseline - media histÃ³rica global,baseline,KENNEDY,2024,4,520,9.609876530317429,11.544158034427008,-1.9342815041095793,1.9342815041095793,media_global
Baseline - media histÃ³rica global,baseline,LA CANDELARIA,2024,4,521,15.61123332875017,11.544158034427008,4.067075294323162,4.067075294323162,media_global
Baseline - media histÃ³rica global,baseline,LOS MARTIRES,2024,4,522,10.34196058402932,11.544158034427008,-1.2021974503976889,1.2021974503976889,media_global
Baseline - media histÃ³rica global,baseline,PUENTE ARANDA,2024,4,523,14.37681244153414,11.544158034427008,2.832654407107132,2.832654407107132,media_global
Baseline - media histÃ³rica global,baseline,RAFAEL URIBE URIBE,2024,4,524,10.20627413127413,11.544158034427008,-1.3378839031528784,1.3378839031528784,media_global
